Keycode,Date,Day,Main Event,Samvatsaram,Ayanam,Rithu,Maasa,Pakshae,Vaaram,Thithi
1,1/1/2017,1,,1,2,6,1,1,1,4
2,1/2/2017,2,,1,2,6,1,1,2,5
3,1/3/2017,3,,1,2,6,1,1,3,6
4,1/4/2017,4,,1,2,6,1,1,4,7
5,1/5/2017,5,,1,2,6,1,1,5,8
6,1/6/2017,6,,1,2,6,1,1,6,9
7,1/7/2017,7,,1,2,6,1,1,7,10
8,1/8/2017,1,,1,2,6,1,1,1,11
9,1/9/2017,2,,1,2,6,1,1,2,12
10,1/10/2017,3,,1,2,6,1,1,3,13
11,1/11/2017,4,,1,2,6,1,1,4,14
12,1/12/2017,5,,1,2,6,1,2,5,15
13,1/13/2017,6,,1,2,6,1,2,6,16
14,1/14/2017,7,,1,2,6,2,2,7,1
15,1/15/2017,1,,1,2,6,2,2,1,2
16,1/16/2017,2,,1,2,6,2,2,2,3
17,1/17/2017,3,,1,2,6,2,2,3,4
18,1/18/2017,4,,1,2,6,2,2,4,5
19,1/19/2017,5,,1,2,6,2,2,5,6
20,1/20/2017,6,,1,2,6,2,2,6,7
21,1/21/2017,7,,1,2,6,2,2,7,8
22,1/22/2017,1,,1,2,6,2,2,1,9
23,1/23/2017,2,,1,2,6,2,2,2,10
24,1/24/2017,3,,1,2,6,2,2,3,11
25,1/25/2017,4,,1,2,6,2,2,4,12
26,1/26/2017,5,,1,2,6,2,2,5,13
27,1/27/2017,6,,1,2,6,2,2,6,14
28,1/28/2017,7,,1,2,6,2,1,7,15
29,1/29/2017,1,,1,2,6,2,1,1,16
30,1/30/2017,2,,1,2,6,2,1,2,1
31,1/31/2017,3,,1,2,6,2,1,3,2
